"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vMetalType","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2","imagefilename"
"C191850209","400","Be fun, fearless and FIERCE in our Monroe Pyramid Statement Ring! This chunky signet ring packs a punch of sparkle and sass into any outfit. Size 8.","Monroe Pyramid Statement Ring","Grunge Glam","Silver","Rings","Silver","8","Brass","Ring, size 8, pyramid, statement, crystal, silver","N","Y",343,"C190800109","Oxidized silver tone plating over brass with glass crystal accents","Style # C19185","Size 8 | Designed in the USA",7,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C191850209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191850209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191850209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191850209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191850209-5.JPG"
"C190820101","400","Be starry-eyed and gleefully glam in this dainty take on grunge style! This lariat necklace is delicate in stature and lightweight in size but is not short on style factor! A great everyday piece for wearing from class or work to weekend fun, and everything in between.","Seeing Stars Dainty Lariat Necklace","Grunge Glam","Gold","Necklaces","Gold","","Brass","Necklace,","N","Y",319,"C190820101","Oxidized Gold Tone Plating Over Brass","Lobster Claw Closure | Style # C19082","18&quot; Length | 3&quot; Extender Chain | Designed In The USA",13,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C190820101.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190820101-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190820101-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190820101-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190820101-5.JPG"
"C190822627","400","Be starry-eyed and gleefully glam in this dainty take on grunge style! This lariat necklace is delicate in stature and lightweight in size but is not short on style factor! A great everyday piece for wearing from class or work to weekend fun, and everything in between.","Seeing Stars Dainty Lariat Necklace","Grunge Glam","Black","Necklaces","Black","","Brass","Necklace,","N","Y",319,"C190820101","Oxidized Matte Black Plating Over Brass","Lobster Claw Closure | Style # C19082","18&quot; Length | 3&quot; Extender Chain | Designed In The USA",13,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C190822627.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190822627-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190822627-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190822627-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190822627-5.JPG"
"C190840109","400","We're currently <i>obsessorizing</i> over these totally stackable, totally trendy bracelets! Both flexible and adjustable, they're perfect to adding to any #ootd. The pave barbed wire focal piece adds that bit of edge into any look. Rock an arm party by choosing one of each color to stack or go solo with one statement bracelet!  Which will you choose?","Simone Barbed Wire Flex Bracelet","Grunge Glam","Gold","Bracelets","Gold","","Zinc","Bracelet,","N","Y",315,"C190840109","Oxidized gold tone plating over metal base with glass crystal accents","Adjustable flex design | Style # C19085","7.25""length | Designed in the USA",12.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190840109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840109-5.JPG"
"C190840209","400","We're currently <i>obsessorizing</i> over these totally stackable, totally trendy bracelets! Both flexible and adjustable, they're perfect to adding to any #ootd. The pave barbed wire focal piece adds that bit of edge into any look. Rock an arm party by choosing one of each color to stack or go solo with one statement bracelet!  Which will you choose?","Simone Barbed Wire Flex Bracelet","Grunge Glam","Silver","Bracelets","Silver","","Zinc","Bracelet,","N","Y",315,"C190840109","Oxidized silver tone plating over metal base with glass crystal accents","Adjustable flex design | Style # C19084","7.25""length | Designed in the USA",12.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190840209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190840209-5.JPG"
"C190860127","400","Wrap it your way with this versatile faux leather bracelet! Adjustable grommets allow you to wear as a bracelet or choker, and the stylishly sparkly buckle closure adds that glitz factor!","Roxy Grommet Wrap Bracelet","Grunge Glam","Black","Bracelets","Gold","","Brass/Zinc","Bracelet,","N","Y",311,"C190860127","Oxidized gold tone plating over brass with glass crystal accents and faux leather band","Adjustable | Buckle closure | Style # C19086","Designed in the USA",11.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190860127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860127-5.JPG"
"C190860220","400","Wrap it your way with this versatile faux leather bracelet! Adjustable grommets allow you to wear as a bracelet or choker, and the stylishly sparkly buckle closure adds that glitz factor!","Roxy Grommet Wrap Bracelet","Grunge Glam","Green","Bracelets","Silver","","Brass/Zinc","Bracelet,","N","Y",311,"C190860127","Oxidized silver tone plating over brass with glass crystal accents and faux leather band","Adjustable | Buckle closure | Style # C19086","Designed in the USA",11.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190860220.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860220-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860220-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860220-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190860220-5.JPG"
"C190870109","400","Bring on the sparkle! This hinged bangle is both totally stackable and entirely versatile, pairing well with both casual and dressy looks. Layer these up for an arm party that will surely catch attention!","What a Stud Hinged Bangle","Grunge Glam","Gold","Bracelets","Gold","","Zinc","Bracelet,","N","Y",312,"C190870109","Oxidized gold tone plating over brass with glass crystal accents","Magnetic closure | Style # C19087","2.4""x 2""| Designed in the USA",14,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C190870109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870109-5.JPG"
"C190870209","400","Bring on the sparkle! This hinged bangle is both totally stackable and entirely versatile, pairing well with both casual and dressy looks. Layer these up for an arm party that will surely catch attention!","What a Stud Hinged Bangle","Grunge Glam","Silver","Bracelets","Silver","","Zinc","Bracelet,","N","Y",312,"C190870109","Oxidized silver tone plating over brass with glass crystal accents","Magnetic closure | Style # C19087","2.4""x 2""| Designed in the USA",14,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C190870209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190870209-5.JPG"
"C190872607","400","Bring on the sparkle! This hinged bangle is both totally stackable and entirely versatile, pairing well with both casual and dressy looks. Layer these up for an arm party that will surely catch attention!","What a Stud Hinged Bangle","Grunge Glam","Black","Bracelets","Black","","Zinc","Bracelet,","N","Y",312,"C190870109","Oxidized matte black plating over brass with glass crystal accents","Magnetic closure | Style # C19087","2.4""x 2""| Designed in the USA",14,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C190872607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190872607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190872607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190872607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190872607-5.JPG"
"C190880109","400","This crystallized pyramid stud ring is so on point, perfect for taking you from Work to Wine! Just the right amount of glitz makes it great for wearing alone, or stacking with others for a total statement. Adjustable for a versatile fit.","Stud Luxe Ring","Grunge Glam","Gold","Rings","Gold","","Brass","Ring, stud, pyramid, crystal, pave, gold","N","Y",344,"C190880109","Oxidized gold tone plating over brass with glass crystal accents","Adjustable | Style # C19088","Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190880109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880109-5.JPG"
"C190880209","400","This crystallized pyramid stud ring is so on point, perfect for taking you from Work to Wine! Just the right amount of glitz makes it great for wearing alone, or stacking with others for a total statement. Adjustable for a versatile fit.","Stud Luxe Ring","Grunge Glam","Silver","Rings","Silver","","Brass","Ring, stud, pyramid, crystal, pave, silver","N","Y",344,"C190880109","Oxidized silver tone plating over brass with glass crystal accents","Adjustable | Style # C19088","Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190880209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190880209-5.JPG"
"C190882607","400","This crystallized pyramid stud ring is so on point, perfect for taking you from Work to Wine! Just the right amount of glitz makes it great for wearing alone, or stacking with others for a total statement. Adjustable for a versatile fit.","Stud Luxe Ring","Grunge Glam","Black","Rings","Black","","Brass","Ring, stud, pyramid, crystal, pave, black","N","Y",344,"C190880109","Oxidized matte black plating over brass with glass crystal accents","Adjustable | Style # C19088","Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190882607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190882607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190882607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190882607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190882607-5.JPG"
"C190890109","400","Taking cues straight off the runway, industrial ball chain and sleek studs mix for a totally on-point bracelet! This piece is perfect for any look, adding that bit of edge while still remaining versatile enough for work or party looks. Dress casual with a tee, boyfriend jeans and booties, or go glam with a bodycon dress and heels! Adjustable to fit everyone!","Stud Luxe Adjustable Bracelet","Grunge Glam","Gold","Bracelets","Gold","","Brass/Zinc","Bracelet,","N","Y",313,"C190890109","Oxidized gold tone plating over brass with glass crystal accents","Adjustable | Style # C19089","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190890109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890109-5.JPG"
"C190890209","400","Taking cues straight off the runway, industrial ball chain and sleek studs mix for a totally on-point bracelet! This piece is perfect for any look, adding that bit of edge while still remaining versatile enough for work or party looks. Dress casual with a tee, boyfriend jeans and booties, or go glam with a bodycon dress and heels! Adjustable to fit everyone!","Stud Luxe Adjustable Bracelet","Grunge Glam","Silver","Bracelets","Silver","","Brass/Zinc","Bracelet,","N","Y",313,"C190890109","Oxidized silver tone plating over brass with glass crystal accents","Adjustable | Style # C19089","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190890209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190890209-5.JPG"
"C190892607","400","Taking cues straight off the runway, industrial ball chain and sleek studs mix for a totally on-point bracelet! This piece is perfect for any look, adding that bit of edge while still remaining versatile enough for work or party looks. Dress casual with a tee, boyfriend jeans and booties, or go glam with a bodycon dress and heels! Adjustable to fit everyone!","Stud Luxe Adjustable Bracelet","Grunge Glam","Black","Bracelets","Black","","Brass/Zinc","Bracelet,","N","Y",313,"C190890109","Oxidized matte black plating over brass with glass crystal accents","Adjustable | Style # C19089","Designed in the USA",9.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190892607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190892607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190892607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190892607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190892607-5.JPG"
"C190940101","400","Be gleefully glam in this dainty take on grunge style! This lariat is delicate in stature and lightweight in size, but is not short on style factor! A great everyday piece for wearing from class or work to weekend fun, and everything in between.","What a Stud Dainty Lariat Necklace","Grunge Glam","Gold","Necklaces","Gold","","Brass","Necklace,","N","Y",321,"C190940101","Oxidized gold tone plating over brass","Lobster claw closure | Style # C19094","18""length | 3""extender chain | Designed in the USA",13,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C190940101.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940101-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940101-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940101-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940101-5.JPG"
"C190940202","400","Be gleefully glam in this dainty take on grunge style! This lariat is delicate in stature and lightweight in size, but is not short on style factor! A great everyday piece for wearing from class or work to weekend fun, and everything in between.","What a Stud Dainty Lariat Necklace","Grunge Glam","Silver","Necklaces","Silver","","Brass","Necklace,","N","Y",321,"C190940101","Oxidized silver tone plating over brass","Lobster claw closure | Style # C19094","18""length | 3""extender chain | Designed in the USA",13,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C190940202.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940202-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940202-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940202-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190940202-5.JPG"
"C190950109","400","Mix and match for days with these cute dainty stacking rings. Trending stars and timeless studs pair well with casual outfits, while subtle glitz adds that eye-catching sparkle factor. All rings are adjustable, making the pairing possibilities endless!","What a Stud Ring Set","Grunge Glam","Gold","Rings","Gold","","Brass","Ring, set, star, gold","N","Y",345,"C190950109","Oxidized gold tone plating over brass with glass crystal accents","Adjustable | Style # C19095","Designed in the USA",11.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190950109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950109-5.JPG"
"C190950209","400","Mix and match for days with these cute dainty stacking rings. Trending stars and timeless studs pair well with casual outfits, while subtle glitz adds that eye-catching sparkle factor. All rings are adjustable, making the pairing possibilities endless!","What a Stud Ring Set","Grunge Glam","Silver","Rings","Silver","","Brass","Ring, set, star, silver","N","Y",345,"C190950109","Oxidized silver tone plating over brass with glass crystal accents","Adjustable | Style # C19095","Designed in the USA",11.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190950209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190950209-5.JPG"
"C190952607","400","Mix and match for days with these cute dainty stacking rings. Trending stars and timeless studs pair well with casual outfits, while subtle glitz adds that eye-catching sparkle factor. All rings are adjustable, making the pairing possibilities endless!","What a Stud Ring Set","Grunge Glam","Black","Rings","Black","","Brass","Ring, set, star, black","N","Y",345,"C190950109","Oxidized matte black plating over brass with glass crystal accents","Adjustable | Style # C19095","Designed in the USA",11.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190952607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190952607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190952607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190952607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190952607-5.JPG"
"C190960109","400","Rock any outfit with this Zion Crystal Chain Bracelet! We're diggin' the casually-chic mix of fishbone chain and sparkly crystal focal. Pair with a cable knit sweater, chelsea boots and skinnies for killer style!","Zion Crystal Chain Bracelet","Grunge Glam","Gold","Bracelets","Gold","","Brass","Bracelet,","N","Y",314,"C190960109","Oxidized gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C19096","6.5""length | 1.5""extender chain | Designed in the USA",10,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190960109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960109-5.JPG"
"C190960209","400","Rock any outfit with this Zion Crystal Chain Bracelet! We're diggin' the casually-chic mix of fishbone chain and sparkly crystal focal. Pair with a cable knit sweater, chelsea boots and skinnies for killer style!","Zion Crystal Chain Bracelet","Grunge Glam","Silver","Bracelets","Silver","","Brass","Bracelet,","N","Y",314,"C190960109","Oxidized silver tone plating over brass with glass crystal accents","Lobster claw closure | Style # C19096","6.5""length | 1.5""extender chain | Designed in the USA",10,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190960209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190960209-5.JPG"
"C190962607","400","Rock any outfit with this Zion Crystal Chain Bracelet! We're diggin' the casually-chic mix of fishbone chain and sparkly crystal focal. Pair with a cable knit sweater, chelsea boots and skinnies for killer style!","Zion Crystal Chain Bracelet","Grunge Glam","Black","Bracelets","Black","","Brass","Bracelet,","N","Y",314,"C190960109","Oxidized matte black plating over brass with glass crystal accents","Lobster claw closure | Style # C19096","6.5""length | 1.5""extender chain | Designed in the USA",10,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C190962607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190962607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190962607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190962607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190962607-5.JPG"
"C190980109","400","The ultimate statement earring! We love the sultry vibe of our Zion Crystal Statement earrings, making them perfect for a date night #ootd. With sleek spike stone drops and subtle sparkles, these earrings are sure to sexify any look.... just sayin'!","Zion Crystal Statement Earrings","Grunge Glam","Gold","Earrings","Gold","","Brass/Surgical Steel","Earrings,","N","Y",334,"C190980109","Oxidized gold tone plating over brass with black agate and glass crystal accents","Surgical steel posts | Style # C19098","2.6""drop | Designed in the USA",15,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C190980109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980109-5.JPG"
"C190980209","400","The ultimate statement earring! We love the sultry vibe of our Zion Crystal Statement earrings, making them perfect for a date night #ootd. With sleek spike stone drops and subtle sparkles, these earrings are sure to sexify any look.... just sayin'!","Zion Crystal Statement Earrings","Grunge Glam","Silver","Earrings","Silver","","Brass/Surgical Steel","Earrings,","N","Y",334,"C190980109","Oxidized silver tone plating over brass with black agate and glass crystal accents","Surgical steel posts | Style # C19098","2.6""drop | Designed in the USA",15,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C190980209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190980209-5.JPG"
"C190982607","400","The ultimate statement earring! We love the sultry vibe of our Zion Crystal Statement earrings, making them perfect for a date night #ootd. With sleek spike stone drops and subtle sparkles, these earrings are sure to sexify any look.... just sayin'!","Zion Crystal Statement Earrings","Grunge Glam","Green","Earrings","Black","","Brass/Surgical Steel","Earrings,","N","Y",334,"C190980109","Oxidized matte black plating over brass with green goldstone and glass crystal accents","Surgical steel posts | Style # C19098","2.6""drop | Designed in the USA",15,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C190982607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190982607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190982607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190982607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190982607-5.JPG"
"C190990109","400","Slay any day with our Zion Spike Statement Necklace! Dripping with dark glam vibes, this edgy-chic piece pairs amazingly well with anything from a casual tee and jeans to a black minidress and stilettos.","Zion Spike Statement Necklace","Grunge Glam","Gold","Necklaces","Gold","","Brass","Necklace,","N","Y",324,"C190990109","Oxidized gold tone plating over brass with black agate and glass crystal accents","Lobster claw closure | Style # C19099","17.5""length | 3""extender chain | Designed in the USA",20,49.99,"https://www.cosmostylejewelry.com/CosmoImg/C190990109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990109-5.JPG"
"C190990209","400","Slay any day with our Zion Spike Statement Necklace! Dripping with dark glam vibes, this edgy-chic piece pairs amazingly well with anything from a casual tee and jeans to a black minidress and stilettos.","Zion Spike Statement Necklace","Grunge Glam","Silver","Necklaces","Silver","","Brass","Necklace,","N","Y",324,"C190990109","Oxidized silver tone plating over brass with black agate and glass crystal accents","Lobster claw closure | Style # C19099","17.5""length | 3""extender chain | Designed in the USA",20,49.99,"https://www.cosmostylejewelry.com/CosmoImg/C190990209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190990209-5.JPG"
"C190992607","400","Slay any day with our Zion Spike Statement Necklace! Dripping with dark glam vibes, this edgy-chic piece pairs amazingly well with anything from a casual tee and jeans to a black minidress and stilettos.","Zion Spike Statement Necklace","Grunge Glam","Black","Necklaces","Black","","Brass","Necklace,","N","Y",324,"C190990109","Oxidized matte black plating over brass with green goldstone and glass crystal accents","Lobster claw closure | Style # C19099","17.5""length | 3""extender chain | Designed in the USA",20,49.99,"https://www.cosmostylejewelry.com/CosmoImg/C190992607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190992607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190992607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190992607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190992607-5.JPG"
"C191000109","400","This necklace is perfect for mixing into your daily wardrobe - a hint of glitz paired with an army-chic vibe keeps any outfit on trend. Versatility is also key here, with the adjustable slider tubes which allow you to change up the length from choker to long. You decide! <br><br><b>Details:</b><ul><li>Adjustable length</li><li>Branded dog tag charm</li>","Beckham Crystal Dog Tag Necklace","Grunge Glam","Gold","Necklaces","Gold","","Brass","Necklace,","N","Y",325,"C191000109","Oxidized gold tone plating over brass with glass crystal accents","Adjustable | Style # C19100","32""length | Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C191000109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000109-5.JPG"
"C191000209","400","This necklace is perfect for mixing into your daily wardrobe - a hint of glitz paired with an army-chic vibe keeps any outfit on trend. Versatility is also key here, with the adjustable slider tubes which allow you to change up the length from choker to long. You decide! <br><br><b>Details:</b><ul><li>Adjustable length</li><li>Branded dog tag charm</li>","Beckham Crystal Dog Tag Necklace","Grunge Glam","Silver","Necklaces","Silver","","Brass","Necklace,","N","Y",325,"C191000109","Oxidized silver tone plating over brass with glass crystal accents","Adjustable | Style # C19100","32""length | Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C191000209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191000209-5.JPG"
"C191002607","400","This necklace is perfect for mixing into your daily wardrobe - a hint of glitz paired with an army-chic vibe keeps any outfit on trend. Versatility is also key here, with the adjustable slider tubes which allow you to change up the length from choker to long. You decide! <br><br><b>Details:</b><ul><li>Adjustable length</li><li>Branded dog tag charm</li>","Beckham Crystal Dog Tag Necklace","Grunge Glam","Black","Necklaces","Black","","Brass","Necklace,","N","Y",325,"C191000109","Oxidized matte black plating over brass with glass crystal accents","Adjustable | Style # C19100","32""length | Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C191002607.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191002607-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191002607-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191002607-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191002607-5.JPG"
"C191010109","400","These dainty studs are so cute it hurts! We love the subtle sparkle that contrasts against oxidized metal, for a perfectly grungy chic vibe. Mix and match pairs depending on your mood - try wearing a mismatched set to be totally on trend!","What a Stud Earring Pack","Grunge Glam","Gold","Earrings","Gold","","Brass/Surgical Steel","Earrings,","N","Y",345,"C191010109","Oxidized gold tone plating over brass with glass crystal accents","Surgical steel posts | Style # C19101","Designed in the USA",12,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C191010109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010109-5.JPG"
"C191010209","400","These dainty studs are so cute it hurts! We love the subtle sparkle that contrasts against oxidized metal, for a perfectly grungy chic vibe. Mix and match pairs depending on your mood - try wearing a mismatched set to be totally on trend!","What a Stud Earring Pack","Grunge Glam","Silver","Earrings","Silver","","Brass/Surgical Steel","Earrings,","N","Y",345,"C191010109","Oxidized silver tone plating over brass with glass crystal accents","Surgical steel posts | Style # C19101","Designed in the USA",12,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C191010209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C191010209-5.JPG"
